,name,kind,categori1,categori2,url,image_href,fit,season,두께
0,[여름용] 2WAY 나일론 메탈 후드 베스트_그레이,상의,아우터,베스트,https://www.musinsa.com/app/goods/3037469?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037469/3037469_16766148792779_500.jpg,레귤러,"봄,여름,가을,겨울",약간 얇음
1,여성) 스탠다드 숏 항공점퍼,상의,아우터,블루종/MA-1,https://www.musinsa.com/app/goods/3094685?loc=goods_rank,//image.msscdn.net/images/goods_img/20230220/3094685/3094685_16781744928361_500.jpg,"루즈,오버 사이즈","봄,가을",보통
2,엘메르스 베스트 atb866m(GREEN),상의,아우터,베스트,https://www.musinsa.com/app/goods/3078428?loc=goods_rank,//image.msscdn.net/images/goods_img/20230213/3078428/3078428_16762659437851_500.jpg,레귤러,"봄,가을",보통
3,머쉬맨 엠브로더리 니트 베스트 atb956m(KHAKI),상의,아우터,베스트,https://www.musinsa.com/app/goods/3078402?loc=goods_rank,//image.msscdn.net/images/goods_img/20230213/3078402/3078402_16762656773701_500.jpg,레귤러,"봄,여름,가을",보통
4,Triple Stitched Windbreaker Black,상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3034966?loc=goods_rank,//image.msscdn.net/images/goods_img/20230119/3034966/3034966_16758360231633_500.jpg,레귤러,"봄,가을",약간 얇음
5,믹스 니트 가디건_오트밀,상의,아우터,카디건,https://www.musinsa.com/app/goods/3043792?loc=goods_rank,//image.msscdn.net/images/goods_img/20230127/3043792/3043792_16758421289868_500.jpg,오버 사이즈,"봄,가을",약간 두꺼움
6,[쿨탠다드] 오버사이즈 블레이저 [블랙],상의,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3148717?loc=goods_rank,//image.msscdn.net/images/goods_img/20230315/3148717/3148717_16820355894475_500.jpg,오버 사이즈,"봄,여름",약간 얇음
7,여성) 스탠다드 우븐 후드 아노락,상의,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3127837?loc=goods_rank,//image.msscdn.net/images/goods_img/20230307/3127837/3127837_16781644741742_500.jpg,"루즈,오버 사이즈",여름,보통
8,브랜치 패턴 니트 베스트_블랙,상의,아우터,베스트,https://www.musinsa.com/app/goods/3253695?loc=goods_rank,//image.msscdn.net/images/goods_img/20230421/3253695/3253695_16830033073114_500.jpg,루즈,여름,약간 얇음
9,포커다이아 하프니트 가디건 아이보리,상의,아우터,카디건,https://www.musinsa.com/app/goods/3300589?loc=goods_rank,//image.msscdn.net/images/goods_img/20230517/3300589/3300589_16842919149824_500.jpg,루즈,"봄,여름,가을",얇음
10,커브드 미니멀 바람막이_블랙,상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3046683?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3046683/3046683_16759271675884_500.jpg,"루즈,오버 사이즈","봄,여름,가을,겨울","약간 얇음,보통"
11,TRANSLUCENT HOODED JACKET - BLACK,상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3047185?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3047185/3047185_16758145083268_500.jpg,루즈,"봄,여름,가을,겨울",얇음
12,ESSENTIAL HOOD ZIP-UP [MELANGE],상의,아우터,후드 집업,https://www.musinsa.com/app/goods/3021612?loc=goods_rank,//image.msscdn.net/images/goods_img/20230112/3021612/3021612_16747927192872_500.jpg,오버 사이즈,"봄,여름,가을,겨울",보통
13,코튼 트윌 리벳 블루종 집업 자켓 (CREAM),상의,아우터,블루종/MA-1,https://www.musinsa.com/app/goods/3131837?loc=goods_rank,//image.msscdn.net/images/goods_img/20230308/3131837/3131837_16783456349510_500.jpg,루즈,"봄,가을",보통
14,[쿨탠다드] 우먼즈 크롭 반팔 블레이저 [블랙],상의,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3078392?loc=goods_rank,//image.msscdn.net/images/goods_img/20230213/3078392/3078392_16813624966459_500.jpg,루즈,여름,얇음
15,하이크 베스트 후드 집업_차콜,상의,아우터,베스트,https://www.musinsa.com/app/goods/3066666?loc=goods_rank,//image.msscdn.net/images/goods_img/20230208/3066666/3066666_16830071938340_500.jpg,루즈,봄,보통
16,데님 멀티 포켓 생지 베스트 인디고,상의,아우터,베스트,https://www.musinsa.com/app/goods/3122954?loc=goods_rank,//image.msscdn.net/images/goods_img/20230305/3122954/3122954_16780024392467_500.jpg,레귤러,"봄,여름,가을",보통
17,데님 데미지 클래식 바이커 자켓 블랙,상의,아우터,트러커 재킷,https://www.musinsa.com/app/goods/3084477?loc=goods_rank,//image.msscdn.net/images/goods_img/20230215/3084477/3084477_16764300239870_500.jpg,루즈,"봄,가을",보통
18,로우컷 뒷밴딩 숏 자켓 - 블랙,상의,아우터,블루종/MA-1,https://www.musinsa.com/app/goods/3048144?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3048144/3048144_16754087094031_500.jpg,레귤러,"봄,가을,겨울",보통
19,우먼즈 오버사이즈 트랙 재킷 [블랙],상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3056620?loc=goods_rank,//image.msscdn.net/images/goods_img/20230202/3056620/3056620_16811121506584_500.jpg,오버 사이즈,여름,얇음
20,누메로원 에센셜 반팔 아노락 크림(QO223CJK42),상의,스포츠/용품,아우터,https://www.musinsa.com/app/goods/3103985?loc=goods_rank,//image.msscdn.net/images/goods_img/20230223/3103985/3103985_16771266955653_500.jpg,루즈,"봄,여름",약간 얇음
21,베이직 브이넥 니트 베스트(딥 인디고),상의,스포츠/용품,아우터,https://www.musinsa.com/app/goods/3112034?loc=goods_rank,//image.msscdn.net/images/goods_img/20230228/3112034/3112034_16830905435265_500.jpg,오버 사이즈,"여름,가을,겨울",보통
22,스카시 니트 베스트_IVORY,상의,아우터,베스트,https://www.musinsa.com/app/goods/3290519?loc=goods_rank,//image.msscdn.net/images/goods_img/20230511/3290519/3290519_16837892083130_500.jpg,레귤러,"봄,여름,가을",약간 두꺼움
23,[ATW][상의+하의 SET]오리지널 하프집업 반팔 아노락 셋업_BK,상의,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3235631?loc=goods_rank,//image.msscdn.net/images/goods_img/20230414/3235631/3235631_16814523419510_500.jpg,루즈,"봄,여름,가을,겨울",얇음
24,[여름용] 2WAY 나일론 메탈 후드 베스트_블랙,상의,아우터,베스트,https://www.musinsa.com/app/goods/3037468?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037468/3037468_16766148558161_500.jpg,레귤러,"봄,여름,가을,겨울",약간 얇음
25,[여름용] 2WAY 나일론 메탈 후드 베스트_크림,상의,아우터,베스트,https://www.musinsa.com/app/goods/3037470?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037470/3037470_16766148961359_500.jpg,레귤러,"봄,여름,가을,겨울",약간 얇음
26,라이트웨이트 윈드 점퍼 (LIGHT GREY),상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3051566?loc=goods_rank,//image.msscdn.net/images/goods_img/20230201/3051566/3051566_16769431678602_500.jpg,루즈,"봄,가을",얇음
27,립스탑 메쉬 윈드브레이커 - 블루 그린,상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3257272?loc=goods_rank,//image.msscdn.net/images/goods_img/20230424/3257272/3257272_16831795449940_500.jpg,루즈,"봄,여름,가을",약간 얇음
28,브랜치 패턴 니트 베스트_크림,상의,아우터,베스트,https://www.musinsa.com/app/goods/3253696?loc=goods_rank,//image.msscdn.net/images/goods_img/20230421/3253696/3253696_16830032684912_500.jpg,루즈,여름,약간 얇음
29,TRANSLUCENT HOODED JACKET - SAND YELLOW,상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3047188?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3047188/3047188_16758144403095_500.jpg,루즈,"봄,여름,가을,겨울",얇음
30,B.H KNIT ZIPUP (IVORY),상의,아우터,카디건,https://www.musinsa.com/app/goods/3155392?loc=goods_rank,//image.msscdn.net/images/goods_img/20230316/3155392/3155392_16790398771031_500.jpg,루즈,"봄,여름,가을",보통
31,[여름용] 2WAY 나일론 메탈 후드 윈드브레이커 자켓_더스티 핑크,상의,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3037473?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037473/3037473_16766153823167_500.jpg,레귤러,"봄,가을,겨울",보통
32,스카시 리본 가디건_오트밀,상의,아우터,카디건,https://www.musinsa.com/app/goods/3039767?loc=goods_rank,//image.msscdn.net/images/goods_img/20230126/3039767/3039767_16753105083733_500.jpg,레귤러,"봄,여름,가을",보통
33,소매 셔링 후디 점퍼 [BLACK],상의,아우터,기타 아우터,https://www.musinsa.com/app/goods/3244915?loc=goods_rank,//image.msscdn.net/images/goods_img/20230419/3244915/3244915_16819024254358_500.jpg,레귤러,여름,얇음
34,오버사이즈 코튼 밴딩 집업 자켓 점퍼 블루종,상의,아우터,블루종/MA-1,https://www.musinsa.com/app/goods/3010708?loc=goods_rank,//image.msscdn.net/images/goods_img/20230109/3010708/3010708_16732326086707_500.jpg,루즈,"봄,가을",보통
35,(여름용) 오버핏 시어서커 블레이져 자켓_네이비,상의,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3170601?loc=goods_rank,//image.msscdn.net/images/goods_img/20230322/3170601/3170601_16817808098063_500.jpg,"루즈,오버 사이즈","봄,여름,가을",얇음
36,유틸리티 후드 베스트[블랙],상의,아우터,베스트,https://www.musinsa.com/app/goods/3094834?loc=goods_rank,//image.msscdn.net/images/goods_img/20230220/3094834/3094834_16772291665626_500.jpg,슬림,"봄,여름,가을,겨울",얇음
37,우먼즈 라이트웨이트 테일러드 베스트 [블랙],상의,아우터,베스트,https://www.musinsa.com/app/goods/3078393?loc=goods_rank,//image.msscdn.net/images/goods_img/20230213/3078393/3078393_16807565317982_500.jpg,슬림,여름,보통
38,1989 zip-up (navy),상의,아우터,트레이닝 재킷,https://www.musinsa.com/app/goods/3092274?loc=goods_rank,//image.msscdn.net/images/goods_img/20230220/3092274/3092274_16768215357259_500.jpg,슬림,"봄,가을",약간 얇음
39,BLEACH FRENCH WORK JACKET (GREEN),상의,아우터,트러커 재킷,https://www.musinsa.com/app/goods/3096066?loc=goods_rank,//image.msscdn.net/images/goods_img/20230221/3096066/3096066_16769649706219_500.jpg,루즈,"봄,여름,가을,겨울",보통
40,[쿨탠다드] 오버사이즈 블레이저 [그레이],상의,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3148718?loc=goods_rank,//image.msscdn.net/images/goods_img/20230315/3148718/3148718_16820355009288_500.jpg,오버 사이즈,"봄,여름",약간 얇음
41,ARGYLE & STITCH KNIT ZIPUP VEST - IV,상의,아우터,베스트,https://www.musinsa.com/app/goods/3141910?loc=goods_rank,//image.msscdn.net/images/goods_img/20230313/3141910/3141910_16786587279926_500.jpg,루즈,"봄,여름",약간 얇음
42,오버사이즈 레이어드 블레이저 [미디엄 그레이],상의,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3092773?loc=goods_rank,//image.msscdn.net/images/goods_img/20230220/3092773/3092773_16795535173565_500.jpg,루즈,"봄,가을",보통
43,콤브 코튼 니트 베스트 - 4 COLOR,상의,아우터,베스트,https://www.musinsa.com/app/goods/3025206?loc=goods_rank,//image.msscdn.net/images/goods_img/20230116/3025206/3025206_16774672633107_500.jpg,레귤러,"봄,여름,가을,겨울",보통
44,원버튼 가디건,상의,아우터,카디건,https://www.musinsa.com/app/goods/3090080?loc=goods_rank,//image.msscdn.net/images/goods_img/20230217/3090080/3090080_16774573211415_500.jpg,레귤러,"봄,여름,가을",얇음
45,2WAY 크롭 스웻 후드 집업 (MELANGE GREY),상의,아우터,후드 집업,https://www.musinsa.com/app/goods/3023666?loc=goods_rank,//image.msscdn.net/images/goods_img/20230113/3023666/3023666_16750529666533_500.jpg,레귤러,"봄,가을,겨울",보통
46,[비건 레더] 디스트레스 페널 블루종 블랙,상의,아우터,레더/라이더스 재킷,https://www.musinsa.com/app/goods/3029209?loc=goods_rank,//image.msscdn.net/images/goods_img/20230117/3029209/3029209_16741044699322_500.jpg,오버 사이즈,"봄,가을",보통
47,[2PACK] 하이크 베스트 셋업_3가지 색상,상의,아우터,베스트,https://www.musinsa.com/app/goods/3257995?loc=goods_rank,//image.msscdn.net/images/goods_img/20230425/3257995/3257995_16837683257804_500.jpg,레귤러,"봄,여름",약간 얇음
48,[ATW] 오리지널 하프집업 아노락_BK,상의,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3284916?loc=goods_rank,//image.msscdn.net/images/goods_img/20230509/3284916/3284916_16836156373782_500.jpg,루즈,"봄,여름,가을,겨울",얇음
49,[세트] 퍼프 트위드 자켓 & 스커트 - 블랙,상의,아우터,기타 아우터,https://www.musinsa.com/app/goods/3107873?loc=goods_rank,//image.msscdn.net/images/goods_img/20230224/3107873/3107873_16772295621433_500.jpg,레귤러,"봄,여름,가을",보통
50,OVERFIT QUILTED JACKET BEIGE,상의,아우터,기타 아우터,https://www.musinsa.com/app/goods/3012808?loc=goods_rank,//image.msscdn.net/images/goods_img/20230110/3012808/3012808_16733251579106_500.jpg,오버 사이즈,"봄,가을,겨울",약간 두꺼움
51,커브드 오버핏 빅카라 집업_그레이,상의,아우터,블루종/MA-1,https://www.musinsa.com/app/goods/3046702?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3046702/3046702_16758204887993_500.jpg,"루즈,오버 사이즈","봄,가을,겨울",보통
52,코튼 트윌 리벳 블루종 집업 자켓 (NAVY),상의,아우터,블루종/MA-1,https://www.musinsa.com/app/goods/3139167?loc=goods_rank,//image.msscdn.net/images/goods_img/20230310/3139167/3139167_16784164100401_500.jpg,루즈,"봄,가을",보통
53,그라데이션 카라 집업 니트 [LIGHT GRAY],상의,아우터,카디건,https://www.musinsa.com/app/goods/3173421?loc=goods_rank,//image.msscdn.net/images/goods_img/20230323/3173421/3173421_16801661386479_500.jpg,슬림,여름,보통
54,커브드 미니멀 바람막이_그레이,상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3046674?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3046674/3046674_16759271749789_500.jpg,"루즈,오버 사이즈","봄,여름,가을,겨울","약간 얇음,보통"
55,모노톤 풀 집업 니트_올리브,상의,아우터,카디건,https://www.musinsa.com/app/goods/3039657?loc=goods_rank,//image.msscdn.net/images/goods_img/20230126/3039657/3039657_16748009238458_500.jpg,루즈,"봄,가을",약간 두꺼움
56,W CROP SWEAT ZIP UP [OATMEAL],상의,아우터,트레이닝 재킷,https://www.musinsa.com/app/goods/3169242?loc=goods_rank,//image.msscdn.net/images/goods_img/20230322/3169242/3169242_16805934832348_500.jpg,레귤러,여름,얇음
57,윈드쉘 후디 자켓 (다크 그레이),상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3136878?loc=goods_rank,//image.msscdn.net/images/goods_img/20230309/3136878/3136878_16786943021818_500.jpg,레귤러,"봄,여름,가을",얇음
58,우먼즈 리브드 슬림 가디건 [블랙],상의,아우터,카디건,https://www.musinsa.com/app/goods/3101623?loc=goods_rank,//image.msscdn.net/images/goods_img/20230222/3101623/3101623_16801711267544_500.jpg,슬림,여름,얇음
59,모노톤 풀 집업 니트_네이비,상의,아우터,카디건,https://www.musinsa.com/app/goods/3039655?loc=goods_rank,//image.msscdn.net/images/goods_img/20230126/3039655/3039655_16748011180032_500.jpg,루즈,"봄,가을",약간 두꺼움
60,레더 커브드 카라 블루종_블랙,상의,아우터,레더/라이더스 재킷,https://www.musinsa.com/app/goods/3012028?loc=goods_rank,//image.msscdn.net/images/goods_img/20230109/3012028/3012028_16758358583615_500.jpg,"루즈,오버 사이즈","봄,가을,겨울","약간 두꺼움,두꺼움"
61,언발란스 스트라이프 베스트 옐로우,상의,아우터,베스트,https://www.musinsa.com/app/goods/3121370?loc=goods_rank,//image.msscdn.net/images/goods_img/20230303/3121370/3121370_16783266696373_500.jpg,"루즈,오버 사이즈","봄,여름","약간 얇음,보통"
62,NICOLE HALF SLEEVE ZIP UP KNIT_BLACK,상의,아우터,카디건,https://www.musinsa.com/app/goods/3312616?loc=goods_rank,//image.msscdn.net/images/goods_img/20230519/3312616/3312616_16844856752449_500.jpg,레귤러,여름,약간 얇음
63,[여름용] 2WAY 나일론 메탈 후드 윈드브레이커 자켓_메탈 그레이,상의,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3037472?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037472/3037472_16766153639109_500.jpg,레귤러,"봄,가을,겨울",보통
64,나일론 크롭 후디 윈드브레이커 재킷 (그레이),상의,아우터,후드 집업,https://www.musinsa.com/app/goods/3247943?loc=goods_rank,//image.msscdn.net/images/goods_img/20230419/3247943/3247943_16819491595749_500.jpg,레귤러,"봄,여름,가을",약간 얇음
65,윈드쉘 후디 자켓 (애쉬 브라운),상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3136883?loc=goods_rank,//image.msscdn.net/images/goods_img/20230309/3136883/3136883_16786930784819_500.jpg,레귤러,"봄,여름,가을",얇음
66,AV LOGO CROP HOOD ZIP-UP IVORY,상의,아우터,후드 집업,https://www.musinsa.com/app/goods/3204699?loc=goods_rank,//image.msscdn.net/images/goods_img/20230404/3204699/3204699_16808491020790_500.jpg,레귤러,"봄,가을,겨울",보통
67,우먼즈 라이트웨이트 크롭 반팔 블레이저 [그레이],상의,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/2858646?loc=goods_rank,//image.msscdn.net/images/goods_img/20221013/2858646/2858646_16783372459459_500.jpg,루즈,여름,얇음
68,여성 원피스형 트렌치 롱코트 (MSWB1CT01),상의,아우터,환절기 코트,https://www.musinsa.com/app/goods/3081911?loc=goods_rank,//image.msscdn.net/images/goods_img/20230214/3081911/3081911_16763534114096_500.jpg,레귤러,"봄,가을",보통
69,플러피 후드집업 SSver. (차콜),상의,아우터,후드 집업,https://www.musinsa.com/app/goods/3235240?loc=goods_rank,//image.msscdn.net/images/goods_img/20230414/3235240/3235240_16818764921778_500.jpg,오버 사이즈,"봄,여름,가을,겨울",보통
70,비건레더 헤리티지 싱글 자켓,상의,아우터,레더/라이더스 재킷,https://www.musinsa.com/app/goods/3041953?loc=goods_rank,//image.msscdn.net/images/goods_img/20230126/3041953/3041953_16764432602991_500.jpg,레귤러,"봄,가을,겨울",보통
71,Tribal Logo Nylon Racing Jacket - Black,상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3209864?loc=goods_rank,//image.msscdn.net/images/goods_img/20230405/3209864/3209864_16810674167028_500.jpg,루즈,"봄,여름,가을,겨울",보통
72,(2023.ver) 사이드픽스 슈팅 수트 셋업_그레이,상의,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3059721?loc=goods_rank,//image.msscdn.net/images/goods_img/20230203/3059721/3059721_16766161674228_500.jpg,"레귤러,루즈","봄,여름,가을,겨울",보통
73,[여름용] 2WAY 나일론 메탈 후드 윈드브레이커 자켓_스틸 블루,상의,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3037471?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037471/3037471_16766153469224_500.jpg,레귤러,"봄,가을,겨울",보통
74,볼레로 윈드쉘(핑크),상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3238091?loc=goods_rank,//image.msscdn.net/images/goods_img/20230417/3238091/3238091_16817119338018_500.jpg,오버 사이즈,"봄,가을,겨울",보통
