,name,categori1,categori2,url,image*href,fit,season,두께
0,[여름][세트상품] 커스터마이징 핏 셋업 수트 (네이비),아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3254285?loc=goods_rank,//image.msscdn.net/images/goods_img/20230424/3254285/3254285_16849943259857_500.jpg,"레귤러,루즈","봄,여름,가을",약간 얇음
1,데님 햅톤 워크 자켓 awa510m(BLUE),아우터,기타 아우터,https://www.musinsa.com/app/goods/3140211?loc=goods_rank,//image.msscdn.net/images/goods_img/20230310/3140211/3140211_16784276178480_500.jpg,레귤러,"봄,가을",보통
2,썸머울 릴렉스드 베이식 블레이저 [블랙],아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3092774?loc=goods_rank,//image.msscdn.net/images/goods_img/20230220/3092774/3092774_16812878972957_500.jpg,레귤러,"봄,여름,가을",보통
3,(여름용) 오버핏 시어서커 수트 셋업 *올리브,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3170615?loc=goods_rank,//image.msscdn.net/images/goods_img/20230322/3170615/3170615_16817807439789_500.jpg,"루즈,오버 사이즈","봄,여름,가을",얇음
4,스카시 하프 카디건\_BLACK,아우터,카디건,https://www.musinsa.com/app/goods/3295029?loc=goods_rank,//image.msscdn.net/images/goods_img/20230512/3295029/3295029_16849780879254_500.jpg,레귤러,여름,약간 얇음
5,우먼즈 썸머울 오버사이즈 블레이저 [차콜 그레이],아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3092779?loc=goods_rank,//image.msscdn.net/images/goods_img/20230220/3092779/3092779_16814681441952_500.jpg,오버 사이즈,"봄,여름,가을",보통
6,[쿨탠다드] 오버사이즈 블레이저 [그레이],아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3148718?loc=goods_rank,//image.msscdn.net/images/goods_img/20230315/3148718/3148718_16820355009288_500.jpg,오버 사이즈,"봄,여름",약간 얇음
7,[여름][세트상품][3006] 워셔블 세미오버 셋업 수트 (그레이),아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3254302?loc=goods_rank,//image.msscdn.net/images/goods_img/20230424/3254302/3254302_16843991763613_500.jpg,루즈,"봄,여름,가을",약간 얇음
8,우먼즈 썸머울 오버사이즈 블레이저 [블랙],아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3092778?loc=goods_rank,//image.msscdn.net/images/goods_img/20230220/3092778/3092778_16814681242704_500.jpg,오버 사이즈,"봄,여름,가을",보통
9,(ORMEZZANO) 린넨 블레이저 [BLUE],아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3273845?loc=goods_rank,//image.msscdn.net/images/goods_img/20230503/3273845/3273845_16830851371959_500.jpg,"슬림,레귤러","봄,여름",얇음
10,B.H KNIT ZIPUP (IVORY),아우터,카디건,https://www.musinsa.com/app/goods/3155392?loc=goods_rank,//image.msscdn.net/images/goods_img/20230316/3155392/3155392_16790398771031_500.jpg,루즈,"봄,여름,가을",보통
11,[ATW][상의+하의 SET]오리지널 하프집업 반팔 아노락 셋업\_BK,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3235631?loc=goods_rank,//image.msscdn.net/images/goods_img/20230414/3235631/3235631_16814523419510_500.jpg,루즈,"봄,여름,가을,겨울",얇음
12,TCM 3 slit vest (black),아우터,베스트,https://www.musinsa.com/app/goods/3037503?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037503/3037503_16751350514811_500.jpg,레귤러,"봄,가을",보통
13,데님 드리즐러 재킷 [딥 인디고],아우터,트러커 재킷,https://www.musinsa.com/app/goods/3054935?loc=goods_rank,//image.msscdn.net/images/goods_img/20230202/3054935/3054935_16795325057790_500.jpg,오버 사이즈,"봄,가을",보통
14,Tribal Logo Nylon Racing Jacket - Black,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3209864?loc=goods_rank,//image.msscdn.net/images/goods_img/20230405/3209864/3209864_16810674167028_500.jpg,루즈,"봄,여름,가을,겨울",보통
15,우먼즈 라이트웨이트 크롭 반팔 블레이저 [그레이],아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/2858646?loc=goods_rank,//image.msscdn.net/images/goods_img/20221013/2858646/2858646_16783372459459_500.jpg,루즈,여름,얇음
16,XTK043 리버시블 플라워 가디건 (GRAY-NAVY),아우터,카디건,https://www.musinsa.com/app/goods/3039879?loc=goods_rank,//image.msscdn.net/images/goods_img/20230126/3039879/3039879_16747854416229_500.jpg,루즈,"봄,가을,겨울",보통
17,쿨 터치 에센셜 가디건 [블랙],아우터,카디건,https://www.musinsa.com/app/goods/3171886?loc=goods_rank,//image.msscdn.net/images/goods_img/20230323/3171886/3171886_16802256827576_500.jpg,레귤러,"봄,여름,가을",약간 얇음
18,썸머울 릴렉스드 베이식 블레이저 [라이트 베이지],아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3092777?loc=goods_rank,//image.msscdn.net/images/goods_img/20230220/3092777/3092777_16817828902905_500.jpg,레귤러,"봄,여름,가을",보통
19,스탠드 카라 오버핏 아노락(카키),스포츠/용품,아우터,https://www.musinsa.com/app/goods/3265910?loc=goods_rank,//image.msscdn.net/images/goods_img/20230427/3265910/3265910_16825771855622_500.jpg,레귤러,여름,얇음
20,슬림 져지 크롭 자켓(화이트),아우터,트레이닝 재킷,https://www.musinsa.com/app/goods/3239385?loc=goods_rank,//image.msscdn.net/images/goods_img/20230417/3239385/3239385_16817151801792_500.jpg,오버 사이즈,"봄,가을,겨울",보통
21,(올시즌)2WAY 어센틱 후드 윈드브레이커 자켓_차콜그레이,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3037477?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037477/3037477_16766162874537_500.jpg,레귤러,"봄,가을,겨울",보통
